Aircraft,FlightType,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time_Minutes,RA_Time_Minutes,Delay_Time,Predicted_Delay_Time
AFR1748,A320,Charles de Gaulle/Roissy (CDG / LFPG),Malaga (AGP / LEMG),,,,,,,,14.425207756232687
AFL1386,A320,Near Nizhny Novgorod,,07.03.2024,11:53,,,,,,14.425207756232687
FHY988,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),,08.03.2024,11:38,,,,,,14.425207756232687
JAP7780,A320,Jorge Chávez Int'l (LIM / SPJC),,09.03.2024,15:09,,,,,,14.425207756232687
AEE6005,A320,"Thessaloniki Int'l, Makedonia (SKG / LGTS)",,09.03.2024,23:00,,,,12.0,,-97.38919667590028
BIX2517,A320,Gran Canaria Int'l (LPA / GCLP),,09.03.2024,21:01,,,,11.0,,-98.38919667590028
LAN13,A320,Comodoro Arturo Merino Benitez Int'l (SCL / SCEL),,09.03.2024,18:01,,,,,,14.425207756232687
N230AC,A320,Los Garzones (MTR / SKMR),,09.03.2024,16:00,,,,,,14.425207756232687
GLG1639,A320,Jose Joaquin de Olmedo Int'l (GYE / SEGU),,09.03.2024,17:06,,,,,,14.425207756232687
JAP7294,A320,Jorge Chávez Int'l (LIM / SPJC),,09.03.2024,17:05,,,,,,14.425207756232687
AVA8562,A320,Antonio Narino (PSO / SKPS),,,,,,,,,14.425207756232687
CCA8233,A320,Wuhan Tianhe (WUH / ZHHH),,,,,,,,,14.425207756232687
BAW890,A320,London Heathrow (LHR / EGLL),,,,,,,,,14.425207756232687
EZY1557,A320,Geneva Cointrin Int'l (GVA / LSGG),,,,,,,,,14.425207756232687
GAP2824,A320,Francisco Bangoy Int'l (DVO / RPMD),,,,,,,,,14.425207756232687
AMC625,A320,Linate (LIN / LIML),,08.03.2024,15:51,,,,,,14.425207756232687
5AK5112,A320,El Dorado Int'l (BOG / SKBO),,08.03.2024,09:50,,,,,,14.425207756232687
RYL411,A320,Near Wuzhou, Guangxi,,,08.03.2024,22:50,,,,14.425207756232687
LAN420,A320,Jorge Newbery (AEP / SABE),,08.03.2024,11:50,,,,,,14.425207756232687
JAP7224,A320,Jorge Chávez Int'l (LIM / SPJC),,08.03.2024,09:49,,,,,,14.425207756232687
SAS767,A320,Copenhagen (CPH / EKCH),,,,,,,,,14.425207756232687
CJL206,A320,Toronto Pearson Int'l (CYYZ),,,,,,,,,14.425207756232687
TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),,,,,,,,,14.425207756232687
AAY354,A320,Orlando Sanford Intl (KSFB),,,,,,,,,14.425207756232687
EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,08.03.2024,15:46,,,,,,14.425207756232687
VTI590,A320,Manohar International Airport (GOX / VOGA),,,,,,,,,14.425207756232687
EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,08.03.2024,15:46,,,,,,14.425207756232687
VIV3045,A320,General Heriberto Jara Int'l (VER / MMVR),,,,,,,,,14.425207756232687
SJV745,A320,Ngurah Rai/Bali Intl (DPS / WADD),,,,,,,,,14.425207756232687
VOE1134,A320,Olbia-Costa Smeralda (OLB / LIEO),,,,,,,,,14.425207756232687
FHY8014,A320,Antalya (AYT / LTAI),,10.03.2024,12:07,,,,,,14.425207756232687
JBU729,A320,Rafael Hernandez (BQN / TJBQ),,,,,,,,,14.425207756232687
JSA535,A320,Singapore Changi (SIN / WSSS),,10.03.2024,17:06,,,,,,14.425207756232687
EWG6812,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),,,,,,,,,14.425207756232687
VLG1174,A320,Valencia (VLC / LEVC),,,,,,,,,14.425207756232687
EWG22H,A320,Nice Cote d'Azur (NCE / LFMN),,10.03.2024,11:05,,,,,,14.425207756232687
VLG8482,A320,Václav Havel Airport (PRG / LKPR),,10.03.2024,11:03,,,,,,14.425207756232687
VLG8482,A320,Václav Havel Airport (PRG / LKPR),,10.03.2024,11:03,,,,,,14.425207756232687
AIC3450,A320,Near Kullu / Manali,,10.03.2024,14:33,,,,,,14.425207756232687
OTC7275,A320,Changsha Huanghua Int'l (CSX / ZGHA),,,,,,,,,14.425207756232687
CSN6194,A320,Beijing Daxing International Airport (PKX / ZBAD),,,,,,,,,14.425207756232687
AWC922,A320,Toulouse-Blagnac (TLS / LFBO),,10.03.2024,11:00,,,,,,14.425207756232687
CSZ9728,A320,Haikou Meilan Int'l (HAK / ZJHK),,,,,,,,,14.425207756232687
APJ926,A320,Taiwan Taoyuan Int'l (TPE / RCTP),,,,,,,,,14.425207756232687
CSN6360,A320,Harbin Taiping Int'l (HRB / ZYHB),,,,,,,,,14.425207756232687
