web-scraper-order,web-scraper-start-url,Aire320,Aire320-href,Aircraft,Aircraft-href,RealArrivalTime
"1709888329-1","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","XLE903","https://www.flightaware.com/live/flight/id/XLE903-1709887548-adhoc-143p%3a0","0h 04m"
"1709888346-2","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AFL1386","https://www.flightaware.com/live/flight/id/AFL1386-1709888012-adhoc-1240p%3a0","0h 05m"
"1709888353-3","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AIQ3017","https://www.flightaware.com/live/flight/id/AIQ3017-1709714394-schedule-575p%3a0","1h 07m"
"1709888379-4","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY322","https://www.flightaware.com/live/flight/id/EZY322-1709715322-schedule-1549p%3a0","0h 56m"
"1709888386-5","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY2184","https://www.flightaware.com/live/flight/id/EZY2184-1709714393-schedule-566p%3a0","1h 42m"
"1709888398-6","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","OTC7771","https://www.flightaware.com/live/flight/id/OTC7771-1709715325-schedule-1471p%3a0","1h 50m"
"1709888410-7","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EJU3852","https://www.flightaware.com/live/flight/id/EJU3852-1709791227-fa-711p%3a0","1h 48m"
"1709888436-8","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TTW322","https://www.flightaware.com/live/flight/id/TTW322-1709714394-schedule-894p%3a0","1h 10m"
"1709888445-9","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AXM239","https://www.flightaware.com/live/flight/id/AXM239-1709714394-schedule-930p%3a0","2h 51m"
"1709888454-10","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CSC6796","https://www.flightaware.com/live/flight/id/CSC6796-1709714394-schedule-855p%3a0","2h 17m"
"1709888480-11","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EWG7581","https://www.flightaware.com/live/flight/id/EWG7581-1709715324-schedule-1148p%3a0","2h 40m"
"1709888497-12","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AXM5112","https://www.flightaware.com/live/flight/id/AXM5112-1709710430-schedule-688p%3a0","2h 15m"
"1709888513-13","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","HYS245","https://www.flightaware.com/live/flight/id/HYS245-1709715324-schedule-1378p%3a0","2h 26m"
"1709888533-14","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VTI691","https://www.flightaware.com/live/flight/id/VTI691-1709713473-schedule-52p%3a0","1h 10m"
"1709888540-15","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AFL1234","https://www.flightaware.com/live/flight/id/AFL1234-1709713470-schedule-1014p%3a0","1h 31m"
"1709888546-16","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","MAC358V","https://www.flightaware.com/live/flight/id/MAC358V-1709887478-adhoc-1266p%3a0","0h 07m"
"1709888564-17","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","THY2201","https://www.flightaware.com/live/flight/id/THY2201-1709715324-schedule-1454p%3a0","1h 26m"
"1709888578-18","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CTV195","https://www.flightaware.com/live/flight/id/CTV195-1709710211-airline-2206p%3a0","2h 00m"
"1709888587-19","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AXM385","https://www.flightaware.com/live/flight/id/AXM385-1709713474-schedule-456p%3a0","1h 50m"
"1709888602-20","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","PGT1261","https://www.flightaware.com/live/flight/id/PGT1261-1709714393-schedule-742p%3a0","3h 42m"
"1709888606-21","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","IBE3011","https://www.flightaware.com/live/flight/id/IBE3011-1709713469-schedule-72p%3a0","1h 00m"
"1709888628-22","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZY90","https://www.flightaware.com/live/flight/id/EZY90-1709715322-schedule-1643p%3a0","0h 49m"
"1709888656-23","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AXM1725","https://www.flightaware.com/live/flight/id/AXM1725-1709714394-schedule-628p%3a0","1h 10m"
"1709888666-24","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AIQ3223","https://www.flightaware.com/live/flight/id/AIQ3223-1709714394-schedule-612p%3a0","1h 10m"
"1709888681-25","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VLG6242","https://www.flightaware.com/live/flight/id/VLG6242-1709715324-schedule-1134p%3a0","1h 50m"
"1709888687-26","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","JST573","https://www.flightaware.com/live/flight/id/JST573-1709712296-schedule-1124p%3a8","2h 31m"
"1709888699-27","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","ABY213","https://www.flightaware.com/live/flight/id/ABY213-1709713471-schedule-621p%3a0","1h 10m"
"1709888707-28","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VTI706","https://www.flightaware.com/live/flight/id/VTI706-1709713473-schedule-57p%3a0","1h 22m"
"1709888736-29","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AXM6468","https://www.flightaware.com/live/flight/id/AXM6468-1709711364-schedule-335p%3a0","0h 20m"
"1709888752-30","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VOI104","https://www.flightaware.com/live/flight/id/VOI104-1709709858-airline-38p%3a0","3h 59m"
"1709888759-31","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","CBJ5116","https://www.flightaware.com/live/flight/id/CBJ5116-1709715325-schedule-1616p%3a0","1h 17m"
"1709888796-32","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","TAP1710","https://www.flightaware.com/live/flight/id/TAP1710-1709715322-schedule-1459p%3a0","1h 58m"
"1709888806-33","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","BEL2809","https://www.flightaware.com/live/flight/id/BEL2809-1709714393-schedule-446p%3a0","1h 14m"
"1709888814-34","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VLG6200","https://www.flightaware.com/live/flight/id/VLG6200-1709715324-schedule-1276p%3a0","1h 17m"
"1709888832-35","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","DQA503","https://www.flightaware.com/live/flight/id/DQA503-1709715325-schedule-1277p%3a0","3h 54m"
"1709888836-36","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","EZS1016","https://www.flightaware.com/live/flight/id/EZS1016-1709791227-fa-730p%3a0","2h 05m"
"1709888840-37","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","VOE2207","https://www.flightaware.com/live/flight/id/VOE2207-1709714392-schedule-405p%3a0","1h 55m"
"1709888857-38","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","AFR1746","https://www.flightaware.com/live/flight/id/AFR1746-1709715324-schedule-1207p%3a0","2h 50m"
"1709888878-39","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","FAD337","https://www.flightaware.com/live/flight/id/FAD337-1709715324-schedule-1488p%3a0","0h 55m"
"1709888899-40","https://www.flightaware.com/live/fleet/AFR/cancelled","A320","https://www.flightaware.com/live/aircrafttype/A320","USW31","https://www.flightaware.com/live/flight/id/USW31-1709887951-adhoc-1402p%3a0","0h 11m"
